ANO;BIMESTRE;COMPONENTE;CURSO;QT
2025;3;934003;937;1
2025;3;934012;937;1
2025;3;934031;937;1
2025;3;937011;937;1
2025;3;907119;904;20
2025;3;700245;700;28
2025;4;700246;700;14
2025;4;912118;952;49
2025;3;934013;934;3
2025;3;934026;934;9
2025;3;948057;948;72
2025;4;912120;972;53
2025;3;950024;972;100
2025;3;918091;919;23
2025;3;700181;700;4
2025;4;934067;934;37
2025;3;987024;934;41
2025;3;934063;951;128
2025;3;937042;937;13
2025;4;972001;972;29
2025;3;908062;915;4
2025;3;908087;915;1
2025;3;915021;915;3
2025;3;915028;915;6
2025;3;999159;915;1
2025;3;987036;934;26
2025;3;999218;934;26
2025;3;908091;915;2
2025;3;908096;915;3
2025;3;908103;915;1
2025;3;912060;915;6
2025;3;915030;915;4
2025;4;999206;967;56
2025;3;963006;964;12
2025;3;999209;964;12
2025;4;999209;913;67
2025;3;949019;949;46
2025;3;908061;908;2
2025;3;946017;946;20
2025;4;999213;946;21
2025;3;987028;987;53
2025;3;999218;987;2
2025;3;918059;941;11
2025;4;941031;941;11
2025;4;999209;972;23
2025;3;900011;934;2
2025;3;912054;913;15
2025;3;930006;930;1
2025;3;908137;915;22
2025;3;996008;996;10
2025;4;953063;913;125
2025;4;913075;949;26
2025;3;999211;949;32
2025;3;910083;910;2
2025;3;905048;938;36
2025;3;938010;938;34
2025;3;944038;944;12
2025;3;918106;947;106
2025;3;900015;985;1
2025;3;912107;962;14
2025;4;946013;946;32
2025;4;975001;975;31
2025;3;999207;973;12
2025;4;918106;941;48
2025;4;918112;941;102
2025;3;949006;967;99
2025;3;951015;951;11
2025;3;999220;977;9
2025;3;935010;935;4
2025;3;900014;950;40
2025;4;912123;950;21
2025;4;999202;950;21
2025;3;900012;934;10
2025;3;934041;934;12
2025;4;999240;977;16
2025;4;912129;964;43
2025;3;966026;966;12
2025;3;999208;966;9
2025;3;999202;910;32
2025;3;907112;916;25
2025;3;999204;916;14
2025;3;999206;916;6
2025;3;999207;916;7
2025;4;919087;999;14
2025;3;999207;975;6
2025;3;918002;918;6
2025;3;994007;994;28
2025;4;999209;994;7
2025;3;999125;912;21
2025;3;999128;912;20
2025;3;999204;925;24
2025;3;999204;997;75
2025;3;918115;952;63
2025;4;953067;952;30
2025;4;904097;929;2
2025;4;904117;929;2
2025;4;998001;951;153
2025;4;986005;986;53
2025;3;949009;949;35
2025;4;936015;942;42
2025;3;999203;946;93
2025;4;925094;909;54
2025;4;910119;910;29
2025;4;999210;910;29
2025;4;961022;964;21
2025;3;918112;676;22
2025;4;967024;676;22
2025;4;999207;676;14
2025;4;999209;998;8
2025;3;993002;994;22
2025;4;999208;994;17
2025;3;999227;994;19
2025;3;999216;946;18
2025;4;912145;954;19
2025;3;967026;949;47
2025;3;951001;951;43
2025;4;951008;951;20
2025;3;999210;951;21
2025;3;999206;994;12
2025;4;999209;945;4
2025;3;999203;949;48
2025;3;936019;936;27
2025;4;966031;676;17
2025;3;966024;684;27
2025;3;918116;675;48
2025;4;912132;959;26
2025;4;961019;942;49
2025;4;918161;999;9
2025;4;910105;998;12
2025;4;949011;949;11
2025;3;900014;996;46
2025;4;999202;996;24
2025;3;912121;977;116
2025;4;912107;973;30
2025;3;999211;937;25
2025;4;999204;905;26
2025;3;919111;919;6
2025;3;968010;949;52
2025;3;700243;935;19
2025;3;700256;935;10
2025;3;966029;966;30
2025;4;491321;4913;1
2025;4;999211;941;11
2025;4;961019;977;122
2025;3;999206;908;15
2025;3;999211;967;87
2025;4;969011;969;12
2025;4;966031;966;35
2025;4;999202;966;35
2025;3;972003;972;8
2025;3;999205;914;14
2025;3;700250;935;4
2025;4;999230;942;14
2025;4;913074;952;50
2025;4;913090;952;50
2025;3;999205;986;11
2025;3;999207;986;19
2025;4;912124;950;7
2025;4;938017;965;24
2025;4;999205;965;24
2025;3;929016;980;1
2025;4;999207;957;44
2025;3;934020;934;5
2025;3;934048;934;5
2025;3;994014;994;2
2025;3;912102;941;10
2025;3;912104;941;8
2025;3;999204;975;40
2025;4;999207;938;8
2025;4;912111;683;44
2025;4;968002;968;5
2025;4;968007;968;5
2025;4;912133;958;61
2025;4;963008;963;19
2025;4;963009;963;19
2025;3;900014;915;25
2025;4;918124;676;51
2025;3;999204;676;42
2025;3;926065;926;9
2025;4;999167;919;10
2025;4;969000;969;31
2025;3;999204;969;31
2025;4;999205;969;31
2025;4;999206;996;18
2025;3;941035;941;8
2025;4;945004;945;3
2025;4;945005;945;3
2025;4;684002;684;50
2025;3;900010;941;7
2025;4;999207;962;5
2025;3;999200;994;16
2025;3;905021;930;3
2025;4;912115;945;15
2025;4;945014;945;16
2025;3;912129;964;19
2025;3;953066;964;23
2025;4;961023;964;12
2025;4;999217;964;12
2025;3;999202;676;39
2025;4;954019;965;8
2025;4;999207;965;8
2025;3;906049;906;5
2025;3;960024;960;13
2025;3;999211;914;11
2025;3;947004;947;53
2025;3;948058;947;7
2025;3;919089;676;20
2025;3;999210;993;6
2025;4;987031;987;36
2025;3;999205;937;38
2025;3;907085;700;2
2025;3;900014;945;25
2025;4;945001;945;15
2025;4;999203;945;13
2025;3;916054;917;2
2025;4;904104;905;16
2025;4;907110;910;22
2025;4;999207;675;22
2025;3;947043;947;77
2025;3;938005;938;1
2025;3;962002;938;1
2025;3;960006;960;1
2025;3;960014;960;1
2025;3;906090;901;1
2025;4;999205;966;97
2025;4;908126;920;6
2025;3;908155;920;7
2025;3;999234;920;6
2025;3;983002;936;3
2025;4;999206;936;2
2025;4;918115;963;50
2025;3;999204;963;51
2025;3;999205;975;17
2025;3;912124;971;7
2025;3;950027;971;7
2025;3;949020;683;9
2025;4;953062;683;9
2025;3;999216;915;5
2025;3;980228;906;1
2025;4;918123;919;33
2025;3;904057;914;1
2025;3;912114;945;13
2025;3;961020;961;8
2025;4;993012;993;12
2025;4;925100;911;7
2025;4;925102;911;7
2025;3;906083;906;19
2025;3;999211;904;3
2025;4;912107;960;16
2025;3;999210;954;12
2025;4;999234;910;5
2025;4;947029;947;16
2025;3;999210;944;17
2025;4;999204;684;49
2025;3;912083;956;2
2025;3;900014;936;18
2025;3;700200;700;1
2025;3;908167;951;9
2025;4;960027;998;8
2025;3;999213;937;4
2025;3;918124;676;12
2025;4;966031;949;8
2025;4;999217;949;8
2025;4;999204;977;40
2025;3;999207;676;8
2025;3;987016;934;20
2025;3;987028;934;7
2025;3;987034;934;25
2025;3;999217;934;19
2025;4;912121;971;5
2025;3;999205;971;5
2025;3;905045;930;2
2025;3;929003;930;3
2025;3;910056;910;3
2025;4;942026;942;2
2025;3;954013;954;1
2025;3;954015;954;1
2025;4;912089;913;3
2025;4;999203;999;4
2025;3;980244;964;2
2025;4;906089;901;8
2025;3;999216;901;8
2025;4;906086;916;9
2025;4;999203;914;13
2025;4;944048;944;7
2025;4;961019;964;30
2025;3;999213;925;16
2025;4;999236;925;16
2025;3;913051;964;1
2025;3;912113;945;7
2025;4;906080;901;7
2025;3;999207;969;8
2025;3;999210;934;10
2025;3;947046;947;21
2025;4;966035;966;16
2025;4;976000;966;16
2025;4;999217;966;16
2025;3;999205;994;7
2025;4;999202;969;13
2025;3;935011;936;7
2025;3;912099;925;1
2025;4;700239;700;24
2025;4;918120;949;35
2025;4;907114;700;10
2025;4;962011;938;8
2025;4;999210;945;17
2025;3;999201;936;3
2025;3;942050;942;12
2025;4;942063;942;11
2025;3;907058;931;1
2025;4;999214;915;11
2025;4;999240;969;15
2025;3;999209;971;4
2025;4;945020;945;2
2025;3;914030;914;7
2025;4;999236;915;3
2025;4;999236;700;9
2025;4;956013;965;7
2025;4;907119;700;23
2025;4;999204;700;22
2025;3;987003;934;16
2025;3;912103;953;1
2025;3;953061;953;1
2025;4;999203;963;18
2025;4;950025;950;17
2025;3;912088;950;1
2025;4;969008;969;7
2025;3;912145;936;2
2025;3;491219;4912;8
2025;3;926075;934;13
2025;3;999201;957;1
2025;3;963010;963;26
2025;4;999213;996;3
2025;4;999217;986;3
2025;4;999212;676;10
2025;3;964011;964;3
2025;3;993014;935;1
2025;4;951010;998;3
2025;4;999211;998;3
2025;4;999240;998;3
2025;3;904106;904;1
2025;3;904107;904;2
2025;3;912124;996;6
2025;3;926075;961;44
2025;4;999205;935;16
2025;3;925059;925;1
2025;3;904067;914;1
2025;3;904078;914;1
2025;4;999204;954;48
2025;3;999207;963;7
2025;4;999209;963;7
2025;4;904112;938;6
2025;4;999203;935;9
2025;4;900015;916;6
2025;4;908156;908;3
2025;4;918135;999;8
2025;3;918140;675;6
2025;3;918141;675;10
2025;3;968013;968;1
2025;3;968015;968;1
2025;3;942004;942;1
2025;3;999212;945;4
2025;4;999213;945;3
2025;4;907111;916;1
2025;4;907119;925;9
2025;4;999227;935;1
2025;3;904119;904;4
2025;4;904102;929;3
2025;4;904111;904;15
2025;3;999204;968;19
2025;4;999205;968;19
2025;4;999206;918;13
2025;4;908153;908;3
2025;4;907114;925;5
2025;4;925105;925;5
2025;4;999202;999;30
2025;4;999212;936;3
2025;3;999227;936;3
2025;3;999202;938;6
2025;3;941037;968;5
2025;3;953064;962;9
2025;4;913079;958;35
2025;3;967027;684;3
2025;4;961033;961;5
2025;3;999205;961;5
2025;3;910051;910;1
2025;3;910057;910;1
2025;3;910064;910;1
2025;3;971004;971;2
2025;3;941037;683;36
2025;4;916055;916;2
2025;4;999215;916;2
2025;4;912126;965;9
2025;3;912060;909;1
2025;3;913027;909;1
2025;3;913060;909;1
2025;4;945010;945;2
2025;4;905051;938;1
2025;4;999211;938;1
2025;4;942033;942;12
2025;4;906086;915;15
2025;3;919087;676;1
2025;3;900011;942;1
2025;3;942012;942;1
2025;3;916058;917;1
2025;4;999209;675;7
2025;3;934068;934;1
2025;3;999216;934;1
2025;3;961037;961;2
2025;4;941040;683;6
2025;3;953063;683;6
2025;4;999210;683;6
2025;3;912052;915;1
2025;3;900015;965;13
2025;4;999208;965;13
2025;4;904112;904;2
2025;3;999205;904;3
2025;4;999206;904;2
2025;3;999233;980;1
2025;3;999206;968;3
2025;4;999202;683;15
2025;4;908141;915;5
2025;4;916045;915;5
2025;4;912140;948;1
2025;4;904096;904;4
2025;4;969003;969;7
2025;3;948045;71;1
2025;3;907150;931;1
2025;4;700251;935;1
2025;3;999206;935;1
2025;3;900017;921;1
2025;4;999206;997;13
2025;4;960021;960;8
2025;4;936022;936;1
2025;4;900015;962;2
2025;3;999205;683;3
2025;3;999202;904;11
2025;4;999202;684;31
2025;4;918108;912;1
2025;4;967026;912;1
2025;4;906080;915;6
2025;4;999202;968;9
2025;3;980229;916;1
2025;3;999170;916;1
2025;3;999171;916;1
2025;3;987026;934;1
2025;3;944043;944;1
2025;3;944044;944;1
2025;4;999215;901;1
2025;4;700241;903;1
2025;4;999200;904;1
2025;4;907120;905;1
2025;4;999203;907;1
2025;4;999200;909;1
2025;4;900014;910;1
2025;4;999200;914;1
2025;4;999200;916;1
2025;4;918110;918;1
2025;4;918132;918;1
2025;4;999200;919;1
2025;4;908137;920;1
2025;4;908167;920;1
2025;4;918125;920;1
2025;4;904094;924;1
2025;4;907120;925;1
2025;4;900014;931;1
2025;4;999200;935;1
2025;4;926075;946;1
2025;4;900014;947;1
2025;4;912122;950;1
2025;4;999200;956;1
2025;4;999200;958;1
2025;4;900014;963;1
2025;4;912107;963;1
2025;4;941037;963;1
2025;4;912107;964;1
2025;4;900014;966;1
2025;4;953063;966;1
2025;4;918108;968;1
2025;4;919076;968;1
2025;4;900014;971;1
2025;4;953062;971;1
2025;4;973001;973;1
2025;4;912130;975;1
2025;4;900014;986;1
2025;4;987039;987;1
2025;4;999200;987;1
2025;4;999203;993;1
2025;4;918132;997;1
2025;4;999200;997;1
2025;4;999200;998;1
2025;4;999203;998;1
2025;4;999200;999;1
2025;4;499241;4909;1
2025;3;491217;4913;1
2025;3;499901;4913;1
2025;3;907109;907;1674
2025;4;987008;987;671
2025;3;987039;987;999
2025;4;999205;987;675
2025;3;999204;942;97
2025;4;999205;942;83
2025;4;907112;907;229
2025;3;941037;950;47
2025;4;961026;961;15
2025;4;934062;987;246
2025;3;987002;987;728
2025;3;999217;987;503
2025;3;700239;935;22
2025;3;700247;935;5
2025;3;900012;907;32
2025;3;907099;907;45
2025;3;999211;907;477
2025;3;904102;930;42
2025;3;900015;913;194
2025;3;913081;913;211
2025;3;913084;913;171
2025;3;953067;913;248
2025;4;907140;931;58
2025;3;907141;931;101
2025;3;999203;942;119
2025;4;912132;912;678
2025;3;999204;912;765
2025;4;904107;905;35
2025;3;999234;905;38
2025;3;907115;906;49
2025;3;999236;906;44
2025;4;936021;954;23
2025;4;918162;918;80
2025;3;999228;918;68
2025;4;907140;907;341
2025;3;999207;907;309
2025;4;907124;907;400
2025;4;918120;918;138
2025;3;907145;907;242
2025;4;907146;907;176
2025;3;999214;907;181
2025;4;926062;946;155
2025;4;946002;946;154
2025;3;998001;946;198
2025;3;900015;700;21
2025;3;907113;700;47
2025;3;951025;951;109
2025;3;946035;946;53
2025;4;946037;946;54
2025;4;906086;917;4
2025;3;941037;912;862
2025;4;918152;918;65
2025;4;918157;918;63
2025;3;910118;902;19
2025;3;906089;917;17
2025;3;916042;917;18
2025;3;999234;917;21
2025;3;900010;906;1
2025;3;900011;906;2
2025;3;906068;906;6
2025;3;999159;906;3
2025;4;985002;951;247
2025;3;999204;951;261
2025;3;918122;948;615
2025;3;999202;948;370
2025;3;907147;931;173
2025;3;999218;931;167
2025;4;947025;948;174
2025;3;999218;948;134
2025;3;906083;901;17
2025;3;906086;901;10
2025;4;999219;945;6
2025;4;700250;903;19
2025;4;999240;906;18
2025;3;999215;924;11
2025;3;948032;948;271
2025;3;948054;948;439
2025;3;700246;700;74
2025;3;948015;948;270
2025;3;907110;908;30
2025;3;912112;912;175
2025;3;912143;912;684
2025;3;908159;948;363
2025;4;918116;948;111
2025;3;987027;987;224
2025;3;907054;907;2
2025;4;907145;907;652
2025;3;907053;907;34
2025;3;907060;907;25
2025;3;907063;907;29
2025;3;975002;975;33
2025;4;975005;975;29
2025;3;999206;975;29
2025;3;999207;967;43
2025;3;912122;909;173
2025;3;913077;909;65
2025;3;941039;909;92
2025;3;949020;909;88
2025;3;999206;909;78
2025;3;912122;971;11
2025;3;948058;948;67
2025;4;906077;901;10
2025;4;906086;901;10
2025;4;912111;958;141
2025;4;912134;958;142
2025;3;999200;951;132
2025;3;907082;907;3
2025;3;999204;954;113
2025;3;913089;913;36
2025;4;999218;913;28
2025;3;918091;941;32
2025;4;941001;941;11
2025;4;918120;948;37
2025;4;953063;912;346
2025;3;918115;675;121
2025;3;999200;675;56
2025;4;909062;909;63
2025;4;999220;909;62
2025;3;913078;912;284
2025;3;999209;912;357
2025;4;944037;944;57
2025;3;966025;913;74
2025;4;904106;924;28
2025;3;918122;986;80
2025;4;999204;986;22
2025;3;999201;700;13
2025;3;953062;953;76
2025;3;953072;953;82
2025;4;999211;948;86
2025;3;977003;977;49
2025;4;919112;919;75
2025;4;999216;919;58
2025;3;999228;919;61
2025;4;900015;925;18
2025;4;907111;925;24
2025;3;925102;925;37
2025;3;918079;919;41
2025;3;919056;919;35
2025;3;985002;998;57
2025;4;926055;926;52
2025;3;999216;926;52
2025;4;907115;993;16
2025;4;913075;913;323
2025;4;907119;907;547
2025;3;913075;912;476
2025;4;913078;912;313
2025;3;916021;916;3
2025;3;916022;916;2
2025;3;980242;916;2
2025;3;980243;916;3
2025;3;980244;916;3
